State_County,Edu_Less_than_HS_2017_21,Edu_HS_diploma_2017_21,Edu_Some_college_2017_21,Edu_Bachelor_or_higher_2017_21,Crime_Rate,Income_Mean,Race_Hispanic,Race_White,Race_Black,Race_Native,Race_Asian,Race_Pacific
SD_Marshall_County,8.7,30.9,32.4,28.1,314.9275667,0.0,7.4,83.8,0.5,7.3,0.0,0.0
SD_Meade_County,4.5,30.3,37.3,27.9,77.20020587,48874.0,4.1,88.0,1.8,2.3,1.2,0.0
SD_Miner_County,10.9,43.0,28.8,17.3,42.86326618,53238.0,2.1,95.2,1.0,0.1,0.3,0.0
SD_Minnehaha_County,6.8,25.8,33.9,33.5,329.5479849,72884.66666666667,4.7,83.6,4.7,2.3,1.9,0.0
SD_Pennington_County,5.6,28.2,33.0,33.2,486.9469842,51256.0,4.8,80.5,1.1,8.0,1.1,0.1
SD_Spink_County,9.8,31.7,32.0,26.4,151.2859304,62507.5,1.9,95.0,0.1,1.9,0.0,0.2
SD_Tripp_County,12.0,42.1,26.7,19.2,109.1305929,0.0,0.3,82.1,0.0,13.3,0.0,0.0
SD_Turner_County,8.5,32.9,32.7,25.9,107.6426265,49652.5,2.1,95.7,0.4,0.5,0.0,0.0
SD_Union_County,5.6,28.2,31.8,34.4,40.46125835,66373.5,3.0,92.8,0.7,0.6,1.0,0.0
SD_Walworth_County,10.0,36.0,28.8,25.1,181.0282404,37152.0,2.0,79.8,0.5,12.2,2.0,0.4
SD_Yankton_County,8.5,33.6,31.4,26.5,237.9273881,46144.0,3.7,89.4,1.8,2.3,0.7,0.1
TN_Anderson_County,10.1,33.6,31.9,24.4,342.85563,56549.79181494662,2.7,89.6,3.4,0.1,1.4,0.1
TN_Benton_County,15.2,48.4,24.3,12.1,251.6881522,41534.0,2.2,93.2,3.4,0.3,0.0,0.0
TN_Carter_County,13.2,37.8,29.5,19.5,169.1722767,41789.0,1.7,95.1,1.4,0.3,0.4,0.0
TN_Cheatham_County,12.7,38.4,26.9,22.0,339.3092272,71475.0,2.7,93.4,1.3,0.2,0.5,0.3
TN_Chester_County,15.3,42.0,25.7,17.0,248.253565,24221.0,2.4,86.0,9.7,0.0,0.5,0.0
TN_Crockett_County,15.8,40.6,28.0,15.5,651.0862861,41429.0,10.1,74.7,13.2,0.2,0.2,0.0
TN_Cumberland_County,11.4,39.2,32.1,17.3,422.8587339,59994.0,2.8,94.7,0.7,0.5,0.6,0.0
TN_Davidson_County,9.9,21.3,24.4,44.4,1129.513728,62867.0,10.1,56.4,27.3,0.3,3.5,0.1
TN_DeKalb_County,19.5,39.4,21.7,19.5,344.395742,45479.0,7.6,88.9,1.3,0.0,0.6,0.1
TN_Fentress_County,19.7,39.7,24.6,16.0,251.270311,39775.0,1.4,96.7,0.2,0.1,0.4,0.0
TN_Franklin_County,11.3,41.3,25.7,21.7,289.3335603,78940.0,3.2,88.8,4.9,0.2,0.6,0.0
TN_Gibson_County,12.9,40.0,28.9,18.2,515.5994096,58578.0,2.6,76.8,17.7,0.4,0.3,0.1
TN_Giles_County,12.4,43.9,25.4,18.3,379.1831907,46603.0,2.0,84.8,9.8,0.0,0.6,0.0
TN_Hamilton_County,9.5,25.1,31.3,34.1,658.496643,76138.5,5.3,71.4,19.3,0.1,2.0,0.0
TN_Hardeman_County,17.9,43.5,27.3,11.4,562.6092907,26503.0,1.7,54.7,41.5,0.3,0.7,0.0
TN_Hardin_County,15.6,44.5,23.6,16.2,480.1413536,75476.0,2.3,92.0,3.7,0.1,1.0,0.1
TN_Henry_County,14.2,44.9,22.8,18.1,310.4625893,42665.0,2.3,87.5,9.0,0.2,0.1,0.0
TN_Jefferson_County,13.6,36.3,30.8,19.2,303.1291368,56431.0,3.5,92.5,1.8,0.2,0.6,0.0
TN_Lawrence_County,13.9,43.8,26.4,15.9,428.6734937,40974.0,2.0,94.0,1.9,0.2,0.4,0.0
TN_Lewis_County,16.6,42.9,30.5,9.9,334.420199,42956.0,2.2,93.5,1.2,0.0,2.7,0.0
TN_Loudon_County,12.7,31.7,27.4,28.2,231.9219791,0.0,8.2,88.4,1.3,0.1,0.6,0.0
TN_Macon_County,20.2,48.9,21.9,8.9,295.1411832,43610.0,5.1,92.1,0.4,0.4,0.3,0.2
TN_Marion_County,18.5,39.1,28.4,14.0,310.1430887,54378.0,1.7,92.1,1.9,0.3,0.4,0.0
TN_Monroe_County,15.3,39.8,29.6,15.3,435.2148459,51561.0,4.2,91.1,1.9,0.9,0.4,0.0
TN_Morgan_County,18.8,45.7,24.3,11.2,365.0467716,52837.0,1.2,93.3,5.0,0.1,0.0,0.0
TN_Obion_County,17.0,45.1,22.5,15.4,353.3455398,45863.0,4.0,83.4,10.3,0.3,0.3,0.0
TN_Polk_County,17.7,35.8,32.3,14.2,299.5805872,38100.0,1.9,95.4,0.3,0.3,0.2,0.0
TN_Rhea_County,16.9,38.7,26.7,17.7,366.0074432,38624.0,4.6,91.0,2.2,0.1,0.4,0.0
TN_Robertson_County,12.1,39.3,28.4,20.1,394.7583218,63496.0,6.4,84.0,7.1,0.4,0.5,0.1
TN_Scott_County,20.1,46.2,24.0,9.7,249.8296616,40153.333333333336,0.8,97.5,0.5,0.3,0.0,0.0
TN_Sevier_County,13.4,35.4,32.4,18.8,333.4402052,60851.0,5.7,90.6,0.7,0.3,0.8,0.0
TN_Shelby_County,10.7,27.6,28.4,33.3,1315.003752,117661.0,6.1,36.5,53.2,0.1,2.5,0.0
TN_Tipton_County,11.2,36.3,33.9,18.7,418.9263794,48443.0,2.7,76.0,17.9,0.5,0.7,0.2
TN_Unicoi_County,13.8,36.8,33.4,16.0,176.9715739,41302.0,4.4,93.7,0.5,0.1,0.5,0.0
TN_Van_Buren_County,19.1,49.3,21.6,10.0,232.8497224,40573.0,0.9,96.3,0.3,0.0,0.0,0.0
TN_Warren_County,16.8,46.1,22.8,14.3,377.8306018,52874.0,8.7,85.9,1.3,0.1,0.6,0.3
TN_Washington_County,9.4,28.9,28.7,33.1,404.632565,49081.666666666664,3.3,89.2,3.8,0.3,1.5,0.0
TN_Weakley_County,12.8,43.8,22.1,21.3,339.6226415,40819.0,2.3,87.1,8.7,0.2,0.1,0.1
TN_Williamson_County,4.2,12.9,20.9,61.9,129.7127717,111205.0,4.7,85.3,4.2,0.1,4.0,0.0
TN_Wilson_County,7.0,28.9,28.1,35.9,323.0964779,82891.0,3.8,86.0,6.8,0.3,1.5,0.1
TX_Anderson_County,17.9,38.7,31.4,12.0,374.5382996,66250.99572852397,17.3,59.7,20.9,0.3,0.5,0.0
TX_Archer_County,9.3,38.1,30.1,22.5,138.2329225,61391.0,8.3,88.6,0.8,0.3,0.4,0.0
TX_Austin_County,12.8,33.7,29.6,23.9,194.1276389,120476.0,25.9,63.3,8.9,0.0,0.2,0.0
TX_Bastrop_County,15.6,31.3,29.9,23.1,336.3006924,81606.0,36.0,53.7,7.7,0.4,0.9,0.0
TX_Bee_County,21.0,32.4,34.8,11.9,182.9324065,53143.0,58.2,32.2,8.2,0.5,0.5,0.0
TX_Bell_County,8.9,25.9,38.6,26.6,402.9457568,98610.0,24.0,47.2,21.0,0.3,2.8,0.7
TX_Bexar_County,14.6,24.4,31.0,30.0,431.0605685,50262.0,59.8,28.4,7.0,0.2,2.6,0.1
TX_Bosque_County,10.5,33.2,38.0,18.4,78.40940913,47763.0,17.6,78.7,1.4,0.3,0.3,0.0
TX_Bowie_County,10.2,33.8,33.0,22.9,622.5464503,53960.0,7.4,64.5,23.9,0.8,1.0,0.0
TX_Brazoria_County,11.2,24.2,33.3,31.3,147.7704229,55854.0,29.7,49.1,12.9,0.3,6.2,0.0
TX_Brown_County,13.1,34.8,32.7,19.4,368.2216747,48538.0,21.5,72.7,3.6,0.2,0.6,0.0
TX_Caldwell_County,19.9,38.5,25.6,16.0,364.4983687,63442.0,50.7,41.1,6.1,0.2,1.0,0.1
TX_Cameron_County,30.5,26.1,24.4,19.0,258.8214994,41536.0,89.3,9.3,0.4,0.1,0.6,0.0
TX_Camp_County,12.6,33.7,30.9,22.8,290.018529,42222.0,23.9,56.6,16.9,0.4,0.3,0.0
TX_Cass_County,13.1,43.0,26.6,17.3,303.3200356,39244.666666666664,4.3,76.4,17.0,0.0,0.4,0.0
TX_Castro_County,23.6,32.3,22.2,21.8,99.626401,48714.0,63.9,32.9,0.7,0.1,1.2,0.0
TX_Chambers_County,10.6,25.9,39.5,23.9,263.5010323,99618.0,21.4,68.0,8.0,0.1,1.3,0.0
